file	accession	organism	n_contigs	total_len	domain	mag	n50	Completeness	Contamination
GCA_041391725.1_ASM4139172v1_genomic.fna	GCA_041391725.1	Bacteroidia bacterium (CFB group bacteria)	54	6673432	Bacteria	GCA_041391725.1_ASM4139172v1_genomic	175189	94.36	0.56
GCA_041391745.1_ASM4139174v1_genomic.fna	GCA_041391745.1	Flavobacteriales bacterium (CFB group bacteria)	39	3258615	Bacteria	GCA_041391745.1_ASM4139174v1_genomic	152835	91.77	0.29
GCA_041391765.1_ASM4139176v1_genomic.fna	GCA_041391765.1	Flavobacteriales bacterium (CFB group bacteria)	54	3110717	Bacteria	GCA_041391765.1_ASM4139176v1_genomic	96711	80.2	0.25
GCA_041391785.1_ASM4139178v1_genomic.fna	GCA_041391785.1	Flavobacteriales bacterium (CFB group bacteria)	24	3364868	Bacteria	GCA_041391785.1_ASM4139178v1_genomic	221942	94.21	0.71
GCA_041391805.1_ASM4139180v1_genomic.fna	GCA_041391805.1	Flavobacteriales bacterium (CFB group bacteria)	83	3832726	Bacteria	GCA_041391805.1_ASM4139180v1_genomic	110461	96.57	4.59
GCA_041391825.1_ASM4139182v1_genomic.fna	GCA_041391825.1	Flavobacteriales bacterium (CFB group bacteria)	36	3281923	Bacteria	GCA_041391825.1_ASM4139182v1_genomic	177481	90.81	1.46
GCA_041391845.1_ASM4139184v1_genomic.fna	GCA_041391845.1	Flavobacteriales bacterium (CFB group bacteria)	14	3520796	Bacteria	GCA_041391845.1_ASM4139184v1_genomic	624514	95.24	0.0
GCA_041391865.1_ASM4139186v1_genomic.fna	GCA_041391865.1	Flavobacteriales bacterium (CFB group bacteria)	37	4112958	Bacteria	GCA_041391865.1_ASM4139186v1_genomic	217224	97.39	2.0
GCA_041391885.1_ASM4139188v1_genomic.fna	GCA_041391885.1	Flavobacteriaceae bacterium (CFB group bacteria)	70	2873311	Bacteria	GCA_041391885.1_ASM4139188v1_genomic	81322	95.08	2.54
GCA_041391905.1_ASM4139190v1_genomic.fna	GCA_041391905.1	Gelidibacter sp. (CFB group bacteria)	57	2145550	Bacteria	GCA_041391905.1_ASM4139190v1_genomic	70388	58.19	1.98
GCA_041391925.1_ASM4139192v1_genomic.fna	GCA_041391925.1	Gelidibacter sp. (CFB group bacteria)	19	3068415	Bacteria	GCA_041391925.1_ASM4139192v1_genomic	407532	85.94	0.62
GCA_041391945.1_ASM4139194v1_genomic.fna	GCA_041391945.1	Allomuricauda sp. (CFB group bacteria)	14	3547527	Bacteria	GCA_041391945.1_ASM4139194v1_genomic	368295	94.0	0.32
GCA_041391965.1_ASM4139196v1_genomic.fna	GCA_041391965.1	Gelidibacter sp. (CFB group bacteria)	11	2623472	Bacteria	GCA_041391965.1_ASM4139196v1_genomic	487383	95.8	2.52
GCA_041391985.1_ASM4139198v1_genomic.fna	GCA_041391985.1	Flavobacterium haoranii (CFB group bacteria)	65	2214356	Bacteria	GCA_041391985.1_ASM4139198v1_genomic	58181	81.56	0.53
GCA_041392005.1_ASM4139200v1_genomic.fna	GCA_041392005.1	Flavobacterium sp. (CFB group bacteria)	51	2370051	Bacteria	GCA_041392005.1_ASM4139200v1_genomic	85053	93.61	0.27
GCA_041392025.1_ASM4139202v1_genomic.fna	GCA_041392025.1	Flavobacterium sp. (CFB group bacteria)	15	2912325	Bacteria	GCA_041392025.1_ASM4139202v1_genomic	556758	95.23	0.74
GCA_041392045.1_ASM4139204v1_genomic.fna	GCA_041392045.1	Flavobacteriaceae bacterium (CFB group bacteria)	37	2765992	Bacteria	GCA_041392045.1_ASM4139204v1_genomic	158462	72.88	0.81
GCA_041392065.1_ASM4139206v1_genomic.fna	GCA_041392065.1	Flavobacteriaceae bacterium (CFB group bacteria)	7	2961282	Bacteria	GCA_041392065.1_ASM4139206v1_genomic	592174	99.99	0.15
GCA_041392085.1_ASM4139208v1_genomic.fna	GCA_041392085.1	Flavobacterium sp. (CFB group bacteria)	18	2786902	Bacteria	GCA_041392085.1_ASM4139208v1_genomic	333288	90.11	0.08
GCA_041392105.1_ASM4139210v1_genomic.fna	GCA_041392105.1	Flavobacteriaceae bacterium (CFB group bacteria)	49	1797968	Bacteria	GCA_041392105.1_ASM4139210v1_genomic	50126	53.83	1.38
GCA_041392125.1_ASM4139212v1_genomic.fna	GCA_041392125.1	Flavobacteriaceae bacterium (CFB group bacteria)	21	2561866	Bacteria	GCA_041392125.1_ASM4139212v1_genomic	247994	83.76	0.2
GCA_041392145.1_ASM4139214v1_genomic.fna	GCA_041392145.1	Flavobacteriaceae bacterium (CFB group bacteria)	27	2226159	Bacteria	GCA_041392145.1_ASM4139214v1_genomic	245260	70.53	0.09
GCA_041392165.1_ASM4139216v1_genomic.fna	GCA_041392165.1	Flavobacteriaceae bacterium (CFB group bacteria)	20	4387231	Bacteria	GCA_041392165.1_ASM4139216v1_genomic	519640	90.14	0.54
GCA_041392175.1_ASM4139217v1_genomic.fna	GCA_041392175.1	Flavobacteriaceae bacterium (CFB group bacteria)	39	2241251	Bacteria	GCA_041392175.1_ASM4139217v1_genomic	100544	68.42	0.49
GCA_041392205.1_ASM4139220v1_genomic.fna	GCA_041392205.1	Flavobacteriaceae bacterium (CFB group bacteria)	38	2712462	Bacteria	GCA_041392205.1_ASM4139220v1_genomic	156264	89.15	2.72
GCA_041392225.1_ASM4139222v1_genomic.fna	GCA_041392225.1	Flavobacteriaceae bacterium (CFB group bacteria)	25	2566291	Bacteria	GCA_041392225.1_ASM4139222v1_genomic	331778	90.11	0.08
GCA_041392235.1_ASM4139223v1_genomic.fna	GCA_041392235.1	Flavobacteriaceae bacterium (CFB group bacteria)	20	3092277	Bacteria	GCA_041392235.1_ASM4139223v1_genomic	514045	99.97	1.53
GCA_041392255.1_ASM4139225v1_genomic.fna	GCA_041392255.1	Crocinitomicaceae bacterium (CFB group bacteria)	49	3564927	Bacteria	GCA_041392255.1_ASM4139225v1_genomic	115079	97.89	3.22
GCA_041392275.1_ASM4139227v1_genomic.fna	GCA_041392275.1	Crocinitomicaceae bacterium (CFB group bacteria)	47	2436852	Bacteria	GCA_041392275.1_ASM4139227v1_genomic	82698	69.45	2.25
GCA_041392305.1_ASM4139230v1_genomic.fna	GCA_041392305.1	Crocinitomicaceae bacterium (CFB group bacteria)	78	3718067	Bacteria	GCA_041392305.1_ASM4139230v1_genomic	123025	84.84	3.42
GCA_041392315.1_ASM4139231v1_genomic.fna	GCA_041392315.1	Spirosomataceae bacterium (CFB group bacteria)	38	5703243	Bacteria	GCA_041392315.1_ASM4139231v1_genomic	334191	82.62	2.55
GCA_041392325.1_ASM4139232v1_genomic.fna	GCA_041392325.1	Cyclobacteriaceae bacterium (CFB group bacteria)	7	3802596	Bacteria	GCA_041392325.1_ASM4139232v1_genomic	1646117	90.88	0.08
GCA_041392355.1_ASM4139235v1_genomic.fna	GCA_041392355.1	Chitinophagales bacterium (CFB group bacteria)	98	1962572	Bacteria	GCA_041392355.1_ASM4139235v1_genomic	35242	61.51	0.31
GCA_041392385.1_ASM4139238v1_genomic.fna	GCA_041392385.1	Cyclobacteriaceae bacterium (CFB group bacteria)	6	4530590	Bacteria	GCA_041392385.1_ASM4139238v1_genomic	1287921	100.0	0.1
GCA_041392405.1_ASM4139240v1_genomic.fna	GCA_041392405.1	Chitinophagales bacterium (CFB group bacteria)	118	2124212	Bacteria	GCA_041392405.1_ASM4139240v1_genomic	32056	63.45	1.43
GCA_041392415.1_ASM4139241v1_genomic.fna	GCA_041392415.1	Chitinophagales bacterium (CFB group bacteria)	90	2603924	Bacteria	GCA_041392415.1_ASM4139241v1_genomic	67218	83.52	0.73
GCA_041392425.1_ASM4139242v1_genomic.fna	GCA_041392425.1	Chitinophagales bacterium (CFB group bacteria)	67	2293829	Bacteria	GCA_041392425.1_ASM4139242v1_genomic	58674	75.14	1.3
GCA_041392465.1_ASM4139246v1_genomic.fna	GCA_041392465.1	Chitinophagales bacterium (CFB group bacteria)	12	3552022	Bacteria	GCA_041392465.1_ASM4139246v1_genomic	470388	100.0	0.01
GCA_041392475.1_ASM4139247v1_genomic.fna	GCA_041392475.1	Chitinophagales bacterium (CFB group bacteria)	5	7777659	Bacteria	GCA_041392475.1_ASM4139247v1_genomic	2416666	99.99	0.58
GCA_041392505.1_ASM4139250v1_genomic.fna	GCA_041392505.1	Saprospiraceae bacterium (CFB group bacteria)	113	7591882	Bacteria	GCA_041392505.1_ASM4139250v1_genomic	128334	100.0	1.07
GCA_041392515.1_ASM4139251v1_genomic.fna	GCA_041392515.1	Saprospiraceae bacterium (CFB group bacteria)	28	7570049	Bacteria	GCA_041392515.1_ASM4139251v1_genomic	569827	92.02	2.14
GCA_041392545.1_ASM4139254v1_genomic.fna	GCA_041392545.1	Saprospiraceae bacterium (CFB group bacteria)	52	5834105	Bacteria	GCA_041392545.1_ASM4139254v1_genomic	213013	100.0	0.58
GCA_041392555.1_ASM4139255v1_genomic.fna	GCA_041392555.1	Saprospiraceae bacterium (CFB group bacteria)	53	2867264	Bacteria	GCA_041392555.1_ASM4139255v1_genomic	112268	63.94	0.89
GCA_041392585.1_ASM4139258v1_genomic.fna	GCA_041392585.1	Saprospiraceae bacterium (CFB group bacteria)	13	5123875	Bacteria	GCA_041392585.1_ASM4139258v1_genomic	832442	93.34	0.46
GCA_041392605.1_ASM4139260v1_genomic.fna	GCA_041392605.1	Saprospiraceae bacterium (CFB group bacteria)	18	6393448	Bacteria	GCA_041392605.1_ASM4139260v1_genomic	508118	97.86	0.31
GCA_041392615.1_ASM4139261v1_genomic.fna	GCA_041392615.1	Saprospiraceae bacterium (CFB group bacteria)	67	3625142	Bacteria	GCA_041392615.1_ASM4139261v1_genomic	81712	54.82	1.04
GCA_041392625.1_ASM4139262v1_genomic.fna	GCA_041392625.1	Saprospiraceae bacterium (CFB group bacteria)	81	4802159	Bacteria	GCA_041392625.1_ASM4139262v1_genomic	133400	94.5	1.11
GCA_041392665.1_ASM4139266v1_genomic.fna	GCA_041392665.1	Saprospiraceae bacterium (CFB group bacteria)	63	9440025	Bacteria	GCA_041392665.1_ASM4139266v1_genomic	202820	99.97	1.67
GCA_041392685.1_ASM4139268v1_genomic.fna	GCA_041392685.1	Saprospiraceae bacterium (CFB group bacteria)	99	6140032	Bacteria	GCA_041392685.1_ASM4139268v1_genomic	122482	100.0	4.3
GCA_041392695.1_ASM4139269v1_genomic.fna	GCA_041392695.1	Saprospiraceae bacterium (CFB group bacteria)	105	2897054	Bacteria	GCA_041392695.1_ASM4139269v1_genomic	43378	42.78	2.1
GCA_041392715.1_ASM4139271v1_genomic.fna	GCA_041392715.1	Saprospiraceae bacterium (CFB group bacteria)	112	3934619	Bacteria	GCA_041392715.1_ASM4139271v1_genomic	88843	65.4	1.44
GCA_041392725.1_ASM4139272v1_genomic.fna	GCA_041392725.1	Saprospiraceae bacterium (CFB group bacteria)	162	5412622	Bacteria	GCA_041392725.1_ASM4139272v1_genomic	62075	61.23	2.24
GCA_041392765.1_ASM4139276v1_genomic.fna	GCA_041392765.1	Saprospiraceae bacterium (CFB group bacteria)	77	5175968	Bacteria	GCA_041392765.1_ASM4139276v1_genomic	111763	90.54	0.8
GCA_041392785.1_ASM4139278v1_genomic.fna	GCA_041392785.1	Saprospiraceae bacterium (CFB group bacteria)	17	3843275	Bacteria	GCA_041392785.1_ASM4139278v1_genomic	288790	100.0	0.0
GCA_041392805.1_ASM4139280v1_genomic.fna	GCA_041392805.1	Saprospiraceae bacterium (CFB group bacteria)	4	9690065	Bacteria	GCA_041392805.1_ASM4139280v1_genomic	5763876	100.0	3.65
GCA_041392825.1_ASM4139282v1_genomic.fna	GCA_041392825.1	Saprospiraceae bacterium (CFB group bacteria)	30	4398371	Bacteria	GCA_041392825.1_ASM4139282v1_genomic	278550	92.64	0.05
GCA_041392835.1_ASM4139283v1_genomic.fna	GCA_041392835.1	Chitinophagaceae bacterium (CFB group bacteria)	17	3092252	Bacteria	GCA_041392835.1_ASM4139283v1_genomic	449073	100.0	0.47
GCA_041392845.1_ASM4139284v1_genomic.fna	GCA_041392845.1	Saprospiraceae bacterium (CFB group bacteria)	93	5500931	Bacteria	GCA_041392845.1_ASM4139284v1_genomic	130737	98.19	3.63
GCA_041392855.1_ASM4139285v1_genomic.fna	GCA_041392855.1	Flavipsychrobacter sp. (CFB group bacteria)	3	3388971	Bacteria	GCA_041392855.1_ASM4139285v1_genomic	2966268	100.0	0.08
GCA_041392895.1_ASM4139289v1_genomic.fna	GCA_041392895.1	Saprospiraceae bacterium (CFB group bacteria)	60	2916806	Bacteria	GCA_041392895.1_ASM4139289v1_genomic	66445	85.36	0.87
GCA_041392925.1_ASM4139292v1_genomic.fna	GCA_041392925.1	Chitinophagaceae bacterium (CFB group bacteria)	49	2723778	Bacteria	GCA_041392925.1_ASM4139292v1_genomic	147772	100.0	1.0
GCA_041392935.1_ASM4139293v1_genomic.fna	GCA_041392935.1	Ferruginibacter sp. (CFB group bacteria)	47	2589779	Bacteria	GCA_041392935.1_ASM4139293v1_genomic	145669	79.94	0.16
GCA_041392945.1_ASM4139294v1_genomic.fna	GCA_041392945.1	Chitinophagales bacterium (CFB group bacteria)	25	2840273	Bacteria	GCA_041392945.1_ASM4139294v1_genomic	457732	91.65	0.0
GCA_041392955.1_ASM4139295v1_genomic.fna	GCA_041392955.1	Chitinophagales bacterium (CFB group bacteria)	54	3133195	Bacteria	GCA_041392955.1_ASM4139295v1_genomic	79963	76.12	0.1
GCA_041392965.1_ASM4139296v1_genomic.fna	GCA_041392965.1	Chitinophagales bacterium (CFB group bacteria)	53	2658905	Bacteria	GCA_041392965.1_ASM4139296v1_genomic	99456	94.8	4.64
GCA_041393015.1_ASM4139301v1_genomic.fna	GCA_041393015.1	Chitinophagales bacterium (CFB group bacteria)	24	4244533	Bacteria	GCA_041393015.1_ASM4139301v1_genomic	404879	99.86	0.28
GCA_041393035.1_ASM4139303v1_genomic.fna	GCA_041393035.1	Chitinophagales bacterium (CFB group bacteria)	6	2510602	Bacteria	GCA_041393035.1_ASM4139303v1_genomic	529354	92.2	0.03
GCA_041393055.1_ASM4139305v1_genomic.fna	GCA_041393055.1	Chitinophagales bacterium (CFB group bacteria)	68	3108127	Bacteria	GCA_041393055.1_ASM4139305v1_genomic	91209	59.83	1.66
GCA_041393075.1_ASM4139307v1_genomic.fna	GCA_041393075.1	Chitinophagales bacterium (CFB group bacteria)	18	4042860	Bacteria	GCA_041393075.1_ASM4139307v1_genomic	371791	100.0	0.16
GCA_041393095.1_ASM4139309v1_genomic.fna	GCA_041393095.1	Chitinophagales bacterium (CFB group bacteria)	47	2144819	Bacteria	GCA_041393095.1_ASM4139309v1_genomic	88149	71.54	1.7
GCA_041393115.1_ASM4139311v1_genomic.fna	GCA_041393115.1	Bacteroidales bacterium (CFB group bacteria)	45	3716255	Bacteria	GCA_041393115.1_ASM4139311v1_genomic	121841	99.95	2.46
GCA_041393135.1_ASM4139313v1_genomic.fna	GCA_041393135.1	Bacteroidales bacterium (CFB group bacteria)	47	3221907	Bacteria	GCA_041393135.1_ASM4139313v1_genomic	123681	78.43	2.75
GCA_041393155.1_ASM4139315v1_genomic.fna	GCA_041393155.1	Bacteroidales bacterium (CFB group bacteria)	76	2118879	Bacteria	GCA_041393155.1_ASM4139315v1_genomic	43480	43.06	1.22
GCA_041393175.1_ASM4139317v1_genomic.fna	GCA_041393175.1	Bacteroidales bacterium (CFB group bacteria)	56	1934342	Bacteria	GCA_041393175.1_ASM4139317v1_genomic	56764	46.63	0.45
GCA_041393195.1_ASM4139319v1_genomic.fna	GCA_041393195.1	Bacteroides graminisolvens (CFB group bacteria)	55	2457010	Bacteria	GCA_041393195.1_ASM4139319v1_genomic	82663	76.33	2.26
GCA_041393215.1_ASM4139321v1_genomic.fna	GCA_041393215.1	Draconibacterium sp. (CFB group bacteria)	66	5607931	Bacteria	GCA_041393215.1_ASM4139321v1_genomic	193203	99.99	0.65
GCA_041393235.1_ASM4139323v1_genomic.fna	GCA_041393235.1	Bacteroidales bacterium (CFB group bacteria)	55	4146489	Bacteria	GCA_041393235.1_ASM4139323v1_genomic	131441	89.33	1.12
GCA_041393255.1_ASM4139325v1_genomic.fna	GCA_041393255.1	Bacteroidales bacterium (CFB group bacteria)	102	5102240	Bacteria	GCA_041393255.1_ASM4139325v1_genomic	117145	71.41	2.66
GCA_041393275.1_ASM4139327v1_genomic.fna	GCA_041393275.1	Bacteroidales bacterium (CFB group bacteria)	102	3269411	Bacteria	GCA_041393275.1_ASM4139327v1_genomic	50830	63.25	1.14
GCA_041393295.1_ASM4139329v1_genomic.fna	GCA_041393295.1	Bacteroidia bacterium (CFB group bacteria)	15	3030499	Bacteria	GCA_041393295.1_ASM4139329v1_genomic	542830	99.94	0.12
GCA_041393315.1_ASM4139331v1_genomic.fna	GCA_041393315.1	Bacteroidales bacterium (CFB group bacteria)	47	4196183	Bacteria	GCA_041393315.1_ASM4139331v1_genomic	226450	83.1	2.42
GCA_041393335.1_ASM4139333v1_genomic.fna	GCA_041393335.1	Bacteroidia bacterium (CFB group bacteria)	69	2269648	Bacteria	GCA_041393335.1_ASM4139333v1_genomic	53962	64.65	0.52
GCA_041393355.1_ASM4139335v1_genomic.fna	GCA_041393355.1	Bacteroidia bacterium (CFB group bacteria)	51	2946174	Bacteria	GCA_041393355.1_ASM4139335v1_genomic	87382	72.46	0.63
GCA_041393375.1_ASM4139337v1_genomic.fna	GCA_041393375.1	Fimbriimonadaceae bacterium (bacteria)	30	1630937	Bacteria	GCA_041393375.1_ASM4139337v1_genomic	102427	52.68	0.17
GCA_041393395.1_ASM4139339v1_genomic.fna	GCA_041393395.1	bacterium (bacteria)	10	4931181	Bacteria	GCA_041393395.1_ASM4139339v1_genomic	973162	97.2	0.95
GCA_041393415.1_ASM4139341v1_genomic.fna	GCA_041393415.1	Thermoleophilia bacterium (actinobacteria)	11	2470263	Bacteria	GCA_041393415.1_ASM4139341v1_genomic	307989	100.0	0.86
GCA_041393435.1_ASM4139343v1_genomic.fna	GCA_041393435.1	Solirubrobacterales bacterium (actinobacteria)	77	4580109	Bacteria	GCA_041393435.1_ASM4139343v1_genomic	211005	86.96	2.89
GCA_041393445.1_ASM4139344v1_genomic.fna	GCA_041393445.1	Solirubrobacterales bacterium (actinobacteria)	7	3330763	Bacteria	GCA_041393445.1_ASM4139344v1_genomic	716911	93.55	3.55
GCA_041393475.1_ASM4139347v1_genomic.fna	GCA_041393475.1	Solirubrobacterales bacterium (actinobacteria)	22	2772865	Bacteria	GCA_041393475.1_ASM4139347v1_genomic	200614	95.92	0.01
GCA_041393495.1_ASM4139349v1_genomic.fna	GCA_041393495.1	Solirubrobacterales bacterium (actinobacteria)	30	2716388	Bacteria	GCA_041393495.1_ASM4139349v1_genomic	136181	85.49	0.32
GCA_041393515.1_ASM4139351v1_genomic.fna	GCA_041393515.1	Solirubrobacterales bacterium (actinobacteria)	24	3342075	Bacteria	GCA_041393515.1_ASM4139351v1_genomic	545228	95.04	0.86
GCA_041393535.1_ASM4139353v1_genomic.fna	GCA_041393535.1	Thermoleophilia bacterium (actinobacteria)	40	4878605	Bacteria	GCA_041393535.1_ASM4139353v1_genomic	510206	90.8	3.5
GCA_041393555.1_ASM4139355v1_genomic.fna	GCA_041393555.1	Tessaracoccus sp. (high G+C Gram-positive bacteria)	53	3763308	Bacteria	GCA_041393555.1_ASM4139355v1_genomic	171863	85.54	3.99
GCA_041393575.1_ASM4139357v1_genomic.fna	GCA_041393575.1	Thermoleophilia bacterium (actinobacteria)	17	2858921	Bacteria	GCA_041393575.1_ASM4139357v1_genomic	367549	92.67	0.56
GCA_041393595.1_ASM4139359v1_genomic.fna	GCA_041393595.1	Micropruina glycogenica (high G+C Gram-positive bacteria)	80	3093879	Bacteria	GCA_041393595.1_ASM4139359v1_genomic	99784	78.81	1.97
GCA_041393615.1_ASM4139361v1_genomic.fna	GCA_041393615.1	Nocardioides sp. (high G+C Gram-positive bacteria)	63	3421036	Bacteria	GCA_041393615.1_ASM4139361v1_genomic	168574	59.88	1.25
GCA_041393635.1_ASM4139363v1_genomic.fna	GCA_041393635.1	Micropruina sp. (high G+C Gram-positive bacteria)	64	2981747	Bacteria	GCA_041393635.1_ASM4139363v1_genomic	76918	61.56	2.69
GCA_041393655.1_ASM4139365v1_genomic.fna	GCA_041393655.1	Micropruina glycogenica (high G+C Gram-positive bacteria)	55	3364727	Bacteria	GCA_041393655.1_ASM4139365v1_genomic	137674	94.27	1.24
GCA_041393675.1_ASM4139367v1_genomic.fna	GCA_041393675.1	Nocardioides sp. (high G+C Gram-positive bacteria)	39	3483841	Bacteria	GCA_041393675.1_ASM4139367v1_genomic	286309	72.6	1.76
GCA_041393695.1_ASM4139369v1_genomic.fna	GCA_041393695.1	Nocardioidaceae bacterium (high G+C Gram-positive bacteria)	13	2687441	Bacteria	GCA_041393695.1_ASM4139369v1_genomic	822549	93.51	1.34
GCA_041393715.1_ASM4139371v1_genomic.fna	GCA_041393715.1	Nocardioides sp. (high G+C Gram-positive bacteria)	27	3680346	Bacteria	GCA_041393715.1_ASM4139371v1_genomic	345382	97.02	0.46
GCA_041393735.1_ASM4139373v1_genomic.fna	GCA_041393735.1	Marmoricola sp. (high G+C Gram-positive bacteria)	23	2546771	Bacteria	GCA_041393735.1_ASM4139373v1_genomic	313204	70.2	0.8
GCA_041393755.1_ASM4139375v1_genomic.fna	GCA_041393755.1	Candidatus Nanopelagicales bacterium (high G+C Gram-positive bacteria)	57	1760231	Bacteria	GCA_041393755.1_ASM4139375v1_genomic	69646	55.07	2.99
GCA_041393775.1_ASM4139377v1_genomic.fna	GCA_041393775.1	Candidatus Nanopelagicales bacterium (high G+C Gram-positive bacteria)	17	3218192	Bacteria	GCA_041393775.1_ASM4139377v1_genomic	454442	92.88	1.54
GCA_041393795.1_ASM4139379v1_genomic.fna	GCA_041393795.1	Candidatus Nanopelagicales bacterium (high G+C Gram-positive bacteria)	56	2182582	Bacteria	GCA_041393795.1_ASM4139379v1_genomic	95715	47.87	0.99
GCA_041393815.1_ASM4139381v1_genomic.fna	GCA_041393815.1	Candidatus Nanopelagicales bacterium (high G+C Gram-positive bacteria)	10	4039043	Bacteria	GCA_041393815.1_ASM4139381v1_genomic	891596	100.0	0.35
GCA_041393835.1_ASM4139383v1_genomic.fna	GCA_041393835.1	Gordonia sp. (in: high G+C Gram-positive bacteria) (high G+C Gram-positive bacteria)	10	4419461	Bacteria	GCA_041393835.1_ASM4139383v1_genomic	1090044	100.0	0.93
GCA_041393855.1_ASM4139385v1_genomic.fna	GCA_041393855.1	Mycobacterium sp. (high G+C Gram-positive bacteria)	18	3680236	Bacteria	GCA_041393855.1_ASM4139385v1_genomic	546389	88.64	0.01
GCA_041393875.1_ASM4139387v1_genomic.fna	GCA_041393875.1	Rhodococcus zopfii (high G+C Gram-positive bacteria)	3	5483724	Bacteria	GCA_041393875.1_ASM4139387v1_genomic	5477455	100.0	0.21
GCA_041393895.1_ASM4139389v1_genomic.fna	GCA_041393895.1	Schumannella sp. (high G+C Gram-positive bacteria)	25	1849528	Bacteria	GCA_041393895.1_ASM4139389v1_genomic	156022	75.24	0.85
GCA_041393925.1_ASM4139392v1_genomic.fna	GCA_041393925.1	Microbacterium sp. (high G+C Gram-positive bacteria)	79	1844833	Bacteria	GCA_041393925.1_ASM4139392v1_genomic	53141	47.7	1.45
GCA_041393945.1_ASM4139394v1_genomic.fna	GCA_041393945.1	Microbacteriaceae bacterium (high G+C Gram-positive bacteria)	4	2290079	Bacteria	GCA_041393945.1_ASM4139394v1_genomic	1181606	87.72	0.0
GCA_041393965.1_ASM4139396v1_genomic.fna	GCA_041393965.1	Acidimicrobiia bacterium (actinobacteria)	4	2134623	Bacteria	GCA_041393965.1_ASM4139396v1_genomic	775741	95.09	0.16
GCA_041393985.1_ASM4139398v1_genomic.fna	GCA_041393985.1	Bifidobacterium adolescentis (high G+C Gram-positive bacteria)	24	1065929	Bacteria	GCA_041393985.1_ASM4139398v1_genomic	77221	40.51	0.24
GCA_041394005.1_ASM4139400v1_genomic.fna	GCA_041394005.1	Microbacterium sp. (high G+C Gram-positive bacteria)	49	2611017	Bacteria	GCA_041394005.1_ASM4139400v1_genomic	123050	88.08	1.46
GCA_041394025.1_ASM4139402v1_genomic.fna	GCA_041394025.1	Acidimicrobiia bacterium (actinobacteria)	6	3046778	Bacteria	GCA_041394025.1_ASM4139402v1_genomic	1605800	97.49	1.08
GCA_041394045.1_ASM4139404v1_genomic.fna	GCA_041394045.1	Acidimicrobiales bacterium (actinobacteria)	54	3643735	Bacteria	GCA_041394045.1_ASM4139404v1_genomic	100728	62.42	0.05
GCA_041394065.1_ASM4139406v1_genomic.fna	GCA_041394065.1	Acidimicrobiales bacterium (actinobacteria)	37	3539428	Bacteria	GCA_041394065.1_ASM4139406v1_genomic	229041	67.5	0.96
GCA_041394085.1_ASM4139408v1_genomic.fna	GCA_041394085.1	Acidimicrobiales bacterium (actinobacteria)	42	3559853	Bacteria	GCA_041394085.1_ASM4139408v1_genomic	145073	69.67	0.15
GCA_041394105.1_ASM4139410v1_genomic.fna	GCA_041394105.1	Acidimicrobiales bacterium (actinobacteria)	33	4023535	Bacteria	GCA_041394105.1_ASM4139410v1_genomic	303794	79.63	0.43
GCA_041394125.1_ASM4139412v1_genomic.fna	GCA_041394125.1	Acidimicrobiales bacterium (actinobacteria)	27	2663135	Bacteria	GCA_041394125.1_ASM4139412v1_genomic	213877	60.8	0.02
GCA_041394145.1_ASM4139414v1_genomic.fna	GCA_041394145.1	Acidimicrobiales bacterium (actinobacteria)	63	4928245	Bacteria	GCA_041394145.1_ASM4139414v1_genomic	178687	88.16	1.35
GCA_041394165.1_ASM4139416v1_genomic.fna	GCA_041394165.1	Acidimicrobiales bacterium (actinobacteria)	25	4083789	Bacteria	GCA_041394165.1_ASM4139416v1_genomic	376623	80.21	0.62
GCA_041394185.1_ASM4139418v1_genomic.fna	GCA_041394185.1	Acidimicrobiales bacterium (actinobacteria)	7	4759287	Bacteria	GCA_041394185.1_ASM4139418v1_genomic	1239582	95.9	2.75
GCA_041394205.1_ASM4139420v1_genomic.fna	GCA_041394205.1	Acidimicrobiales bacterium (actinobacteria)	199	4828830	Bacteria	GCA_041394205.1_ASM4139420v1_genomic	44938	45.91	1.18
GCA_041394225.1_ASM4139422v1_genomic.fna	GCA_041394225.1	Acidimicrobiales bacterium (actinobacteria)	80	3373504	Bacteria	GCA_041394225.1_ASM4139422v1_genomic	93514	49.09	2.26
GCA_041394245.1_ASM4139424v1_genomic.fna	GCA_041394245.1	Acidimicrobiales bacterium (actinobacteria)	8	4319872	Bacteria	GCA_041394245.1_ASM4139424v1_genomic	2946468	96.47	2.32
GCA_041394265.1_ASM4139426v1_genomic.fna	GCA_041394265.1	Acidimicrobiales bacterium (actinobacteria)	6	5703361	Bacteria	GCA_041394265.1_ASM4139426v1_genomic	5081789	95.9	1.82
GCA_041394285.1_ASM4139428v1_genomic.fna	GCA_041394285.1	Acidimicrobiales bacterium (actinobacteria)	58	6896723	Bacteria	GCA_041394285.1_ASM4139428v1_genomic	263656	92.96	2.91
GCA_041394305.1_ASM4139430v1_genomic.fna	GCA_041394305.1	Acidimicrobiales bacterium (actinobacteria)	89	6360143	Bacteria	GCA_041394305.1_ASM4139430v1_genomic	160208	79.66	3.33
GCA_041394325.1_ASM4139432v1_genomic.fna	GCA_041394325.1	Microthrixaceae bacterium (actinobacteria)	12	3073973	Bacteria	GCA_041394325.1_ASM4139432v1_genomic	3044961	91.18	4.31
GCA_041394345.1_ASM4139434v1_genomic.fna	GCA_041394345.1	Acidimicrobiales bacterium (actinobacteria)	59	3348648	Bacteria	GCA_041394345.1_ASM4139434v1_genomic	110274	65.36	2.64
