genome	n_anchors_k16	n_anchors_k8	ratio
GCA_041398365.1_ASM4139836v1_genomic	26629	0	0
GCA_041398385.1_ASM4139838v1_genomic	9529	0	0
GCA_041398405.1_ASM4139840v1_genomic	3565	0	0
GCA_041398425.1_ASM4139842v1_genomic	2842	0	0
GCA_041398445.1_ASM4139844v1_genomic	19899	0	0
GCA_041398465.1_ASM4139846v1_genomic	28058	0	0
GCA_041398485.1_ASM4139848v1_genomic	16317	0	0
GCA_041398505.1_ASM4139850v1_genomic	13844	0	0
GCA_041398525.1_ASM4139852v1_genomic	122	0	0
GCA_041398545.1_ASM4139854v1_genomic	10060	0	0
GCA_041398565.1_ASM4139856v1_genomic	51771	0	0
GCA_041398585.1_ASM4139858v1_genomic	17777	0	0
GCA_041398605.1_ASM4139860v1_genomic	29093	0	0
GCA_041398625.1_ASM4139862v1_genomic	306	0	0
GCA_041398635.1_ASM4139863v1_genomic	2794	0	0
GCA_041398665.1_ASM4139866v1_genomic	48945	0	0
GCA_041398685.1_ASM4139868v1_genomic	11490	0	0
GCA_041398705.1_ASM4139870v1_genomic	2470	0	0
GCA_041398725.1_ASM4139872v1_genomic	26967	0	0
GCA_041398745.1_ASM4139874v1_genomic	22128	0	0
GCA_041398765.1_ASM4139876v1_genomic	11713	0	0
GCA_041398785.1_ASM4139878v1_genomic	21624	0	0
GCA_041398805.1_ASM4139880v1_genomic	25145	0	0
GCA_041398825.1_ASM4139882v1_genomic	52924	0	0
GCA_041398845.1_ASM4139884v1_genomic	48926	0	0
GCA_041398865.1_ASM4139886v1_genomic	26852	0	0
GCA_041398885.1_ASM4139888v1_genomic	7639	0	0
GCA_041398905.1_ASM4139890v1_genomic	3900	0	0
GCA_041398925.1_ASM4139892v1_genomic	41594	0	0
GCA_041398945.1_ASM4139894v1_genomic	30313	0	0
GCA_041398965.1_ASM4139896v1_genomic	29946	0	0
GCA_041398985.1_ASM4139898v1_genomic	32118	0	0
GCA_041399005.1_ASM4139900v1_genomic	3716	0	0
GCA_041399025.1_ASM4139902v1_genomic	7675	0	0
GCA_041399045.1_ASM4139904v1_genomic	38223	0	0
GCA_041399065.1_ASM4139906v1_genomic	103582	0	0
GCA_041399085.1_ASM4139908v1_genomic	50735	0	0
GCA_041399105.1_ASM4139910v1_genomic	34882	0	0
GCA_041399125.1_ASM4139912v1_genomic	48597	0	0
GCA_041399145.1_ASM4139914v1_genomic	19071	0	0
GCA_041399155.1_ASM4139915v1_genomic	44482	0	0
GCA_041399205.1_ASM4139920v1_genomic	9763	0	0
GCA_041401905.1_ASM4140190v1_genomic	3314	0	0
GCA_041401925.1_ASM4140192v1_genomic	11212	0	0
GCA_041401945.1_ASM4140194v1_genomic	26594	0	0
GCA_041401965.1_ASM4140196v1_genomic	13657	0	0
GCA_041401985.1_ASM4140198v1_genomic	15917	0	0
GCA_041402005.1_ASM4140200v1_genomic	40747	0	0
GCA_041402025.1_ASM4140202v1_genomic	39101	0	0
GCA_041402045.1_ASM4140204v1_genomic	34292	0	0
GCA_041402065.1_ASM4140206v1_genomic	6727	0	0
GCA_041402085.1_ASM4140208v1_genomic	7679	0	0
GCA_041402105.1_ASM4140210v1_genomic	5609	0	0
GCA_041402125.1_ASM4140212v1_genomic	11724	0	0
GCA_041402145.1_ASM4140214v1_genomic	1108	0	0
GCA_041402165.1_ASM4140216v1_genomic	4746	3956	0.833544
GCA_041402185.1_ASM4140218v1_genomic	2162	0	0
