genome_id	gc	ncbi_accession	gtdb_species	gtdb_gc	size_bp	contigs
g288_GCA_035518775_1	67.76	GCA_035518775.1	GCA_035518775.1	67.7553	6048369	505
g289_GCF_015477145_1	68.21	GCF_015477145.1	GCF_015477145.1	68.2120	6630200	60
g290_GCA_001306995_1	68.56	GCA_001306995.1	GCA_001306995.1	68.5552	3617426	5
g291_GCA_946221955_1	68.83	GCA_946221955.1	GCA_946221955.1	68.8280	1742546	367
g292_GCA_034428315_1	69.12	GCA_034428315.1	GCA_034428315.1	69.1164	2514810	415
g293_GCA_034434015_1	69.40	GCA_034434015.1	GCA_034434015.1	69.3985	5603500	282
g294_GCF_005502825_1	70.17	GCF_005502825.1	GCF_005502825.1	70.1671	2971145	58
g295_GCA_020853405_1	70.61	GCA_020853405.1	GCA_020853405.1	70.6074	3779927	585
g296_GCF_025000345_1	71.01	GCF_025000345.1	GCF_025000345.1	71.0057	3733919	28
g297_GCF_039526725_1	71.68	GCF_039526725.1	GCF_039526725.1	71.6794	7893215	39
g298_GCF_002240585_1	72.38	GCF_002240585.1	GCF_002240585.1	72.3802	3411659	6
g299_GCF_002154495_1	73.19	GCF_002154495.1	GCF_002154495.1	73.1901	8136809	981
